frequencia,Z_real,Z_imag,fase
9400,1557.3845373111708,-232.47479980434645,-8.49
9600,1557.3845373111708,-232.47479980434645,-8.49
9800,1557.3845373111708,-232.47479980434645,-8.49
10000,1557.3845373111708,-232.47479980434645,-8.49
10200,1557.3845373111708,-232.47479980434645,-8.49
10400,1566.5949085236125,-159.9576824910072,-5.83
10600,1566.5949085236125,-159.9576824910072,-5.83
10800,1566.5949085236125,-159.9576824910072,-5.83
11000,1566.5949085236125,-159.9576824910072,-5.83
11200,1566.5949085236125,-159.9576824910072,-5.83
11400,1566.5949085236125,-159.9576824910072,-5.83
11600,1566.5949085236125,-159.9576824910072,-5.83
11800,1470.2801810090664,-151.93867655059736,-5.9
12000,1470.2801810090664,-151.93867655059736,-5.9
12200,1470.2801810090664,-151.93867655059736,-5.9
12400,1470.2801810090664,-151.93867655059736,-5.9
12600,1470.2801810090664,-151.93867655059736,-5.9
12800,1470.2801810090664,-151.93867655059736,-5.9
13000,1470.2801810090664,-151.93867655059736,-5.9
13200,1470.2801810090664,-151.93867655059736,-5.9
13400,1470.2801810090664,-151.93867655059736,-5.9
13600,1473.15732762322,-291.96020990883807,-11.21
13800,1473.15732762322,-291.96020990883807,-11.21
14000,1473.15732762322,-291.96020990883807,-11.21
14200,1483.764782442879,-197.185817142704,-7.57
14400,1483.764782442879,-197.185817142704,-7.57
14600,1483.764782442879,-197.185817142704,-7.57
14800,1483.764782442879,-197.185817142704,-7.57
15000,1483.764782442879,-197.185817142704,-7.57
15200,1483.764782442879,-197.185817142704,-7.57
15400,1483.764782442879,-197.185817142704,-7.57
15600,1483.764782442879,-197.185817142704,-7.57
15800,1483.764782442879,-197.185817142704,-7.57
16000,1483.764782442879,-197.185817142704,-7.57
16200,1483.764782442879,-197.185817142704,-7.57
16400,1483.764782442879,-197.185817142704,-7.57
16600,1483.764782442879,-197.185817142704,-7.57
16800,1483.764782442879,-197.185817142704,-7.57
17000,1483.764782442879,-197.185817142704,-7.57
17200,1483.764782442879,-197.185817142704,-7.57
17400,1422.2467761717844,-105.4415960091955,-4.24
17600,1482.2395793804822,-101.0489570355459,-3.9
17800,1422.2467761717844,-105.4415960091955,-4.24
18000,1422.2467761717844,-105.4415960091955,-4.24
18200,1422.2467761717844,-105.4415960091955,-4.24
18400,1422.2467761717844,-105.4415960091955,-4.24
18600,1422.2467761717844,-105.4415960091955,-4.24
18800,1422.2467761717844,-105.4415960091955,-4.24
19000,1422.2467761717844,-105.4415960091955,-4.24
19200,1422.2467761717844,-105.4415960091955,-4.24
19400,1422.2467761717844,-105.4415960091955,-4.24
19600,1422.2467761717844,-105.4415960091955,-4.24
19800,1422.2467761717844,-105.4415960091955,-4.24
20000,1422.2467761717844,-105.4415960091955,-4.24
20200,1422.2467761717844,-105.4415960091955,-4.24
20400,1422.2467761717844,-105.4415960091955,-4.24
20600,1422.2467761717844,-105.4415960091955,-4.24
20800,1411.6096810208162,-21.928904402860926,-0.89
21000,1437.0427157459037,-146.98314434532057,-5.84
21200,1437.0427157459037,-146.98314434532057,-5.84
21400,1437.0427157459037,-146.98314434532057,-5.84
21600,1437.0427157459037,-146.98314434532057,-5.84
21800,1437.0427157459037,-146.98314434532057,-5.84
22000,1437.0427157459037,-146.98314434532057,-5.84
22200,1437.0427157459037,-146.98314434532057,-5.84
22400,1437.0427157459037,-146.98314434532057,-5.84
22600,1437.0427157459037,-146.98314434532057,-5.84
22800,1314.8956646470183,-171.94208092400137,-7.45
23000,1314.8956646470183,-171.94208092400137,-7.45
23200,1314.8956646470183,-171.94208092400137,-7.45
23400,1314.8956646470183,-171.94208092400137,-7.45
23600,1314.8956646470183,-171.94208092400137,-7.45
23800,1314.8956646470183,-171.94208092400137,-7.45
24000,1314.8956646470183,-171.94208092400137,-7.45
24200,1305.7097787682558,-98.63517896244095,-4.32
24400,1305.7097787682558,-98.63517896244095,-4.32
24600,1305.7097787682558,-98.63517896244095,-4.32
24800,1305.7097787682558,-98.63517896244095,-4.32
25000,1305.7097787682558,-98.63517896244095,-4.32
25200,1305.7097787682558,-98.63517896244095,-4.32
25400,1305.7097787682558,-98.63517896244095,-4.32
25600,1305.7097787682558,-98.63517896244095,-4.32
